instructionType,instructionSymbol,action,stimText,stimVideo,stimAudio,movement,congruency,thisN,thisTrialN,thisRepN,keyBlockResponseTraining.keys,keyBlockResponseTraining.rt,keyBlockResponseTraining.duration,keyBlockResponse.keys,keyBlockResponse.rt,keyBlockResponse.duration,trialsTraining.thisRepN,trialsTraining.thisTrialN,trialsTraining.thisN,trialsTraining.thisIndex,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,trialsLoop.thisRepN,trialsLoop.thisTrialN,trialsLoop.thisN,trialsLoop.thisIndex,pause.thisRepN,pause.thisTrialN,pause.thisN,pause.thisIndex,oneThirdLoop.thisRepN,oneThirdLoop.thisTrialN,oneThirdLoop.thisN,oneThirdLoop.thisIndex,twoThirdsLoop.thisRepN,twoThirdsLoop.thisTrialN,twoThirdsLoop.thisN,twoThirdsLoop.thisIndex,thisRow.t,notes,welcomeScreen.started,textWelcome.started,keyWelcomeResponse.started,welcomeScreen.stopped,keyWelcomeResponse.keys,keyWelcomeResponse.rt,keyWelcomeResponse.duration,explanationScreen.started,textExplanation.started,keyEplanation.started,explanationScreen.stopped,keyEplanation.keys,keyEplanation.rt,keyEplanation.duration,explInstructSpeak.started,image.started,textInstructSpeak.started,keyInstructSpeak_continue.started,textInstructSpeak_continue.started,explInstructSpeak.stopped,keyInstructSpeak_continue.keys,keyInstructSpeak_continue.rt,keyInstructSpeak_continue.duration,explInstructHand.started,textInstructHand.started,imageInstructHand.started,keyInstructHand.started,textInstructHand_continue.started,explInstructHand.stopped,keyInstructHand.keys,keyInstructHand.rt,keyInstructHand.duration,explInstructBoth.started,imageInstructBoth.started,textInstructBoth.started,keyResponseInstructBoth.started,textInstructBoth_continue.started,explInstructBoth.stopped,keyResponseInstructBoth.keys,keyResponseInstructBoth.rt,keyResponseInstructBoth.duration,blockTraining.started,textBlockTraining.started,keyBlockResponseTraining.started,blockTraining.stopped,trialsTraining.keyBlockResponseTraining.keys,trialsTraining.keyBlockResponseTraining.rt,trialsTraining.keyBlockResponseTraining.duration,image_aspect,trialTraining.started,iti_Training.started,iti_Training.stopped,textStart_Training.started,textStart_Training.stopped,movieGesture_Training.started,audioStim_Training.started,audioStim_Training.stopped,movieGesture_Training.stopped,instructionImage_Training.started,instructionImage_Training.stopped,actionCue_Training.started,audioGoCue_Training.started,audioGoCue_Training.stopped,actionCue_Training.stopped,trialTraining.stopped,blockStart.started,textBlockStart.started,keyBlockResponse.started,blockStart.stopped,blockLoop.keyBlockResponse.keys,blockLoop.keyBlockResponse.rt,blockLoop.keyBlockResponse.duration,trial.started,iti.started,iti.stopped,textStart.started,textStart.stopped,movieGesture.started,audioStimuli.started,audioStimuli.stopped,movieGesture.stopped,instructionImage.started,instructionImage.stopped,actionCue.started,audioGoCue.started,audioGoCue.stopped,actionCue.stopped,trial.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
gesture,images/hand.png,go,"falling",videos/falling_clip.mp4,audios/falling.wav,arm,congruent,5,5,0,space,518.7214460999985,None,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,150.3539333000008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.33752819999972,150.3539333000008,150.3539333000008,669.0901501000008,space,518.7214460999985,None,1.0,671.9856385000003,671.9933096999994,671.9933096999994,671.9933096999994,672.0902048999997,672.0902048999997,672.5899200666665,673.6560468000007,678.0300616000004,678.0300616000004,678.0394567000003,678.0394567000003,678.0467282666671,679.0565833,681.0894002999994,681.0728849000006,,,,,,,,,,,,,,,,,,,,,,,,BCI02,001,2025-12-12_12h42.57.795,exp_cospeech_congruency,,2025.1.1,60.03993856698204,2025-12-12 12h43.06.338691 -0600,
gesture,images/hand.png,go,"me",videos/me_clip.mp4,audios/me.wav,hand_wrist,congruent,6,6,0,space,0.5867527999998856,None,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,681.0894002999994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,681.0729986999995,681.0894002999994,681.0894002999994,681.6901063999994,space,0.5867527999998856,None,1.0,684.6186051000004,684.6253173999994,684.6253173999994,684.6253173999994,684.6936733000002,684.6936733000002,685.1893937666666,686.239977700001,690.6169991000006,690.6169991000006,690.622752700001,690.622752700001,690.6336657666673,691.6394467000009,693.6899967999998,693.6734372999999,,,,,,,,,,,,,,,,,,,,,,,,BCI02,001,2025-12-12_12h42.57.795,exp_cospeech_congruency,,2025.1.1,60.03993856698204,2025-12-12 12h43.06.338691 -0600,
speech_gesture,images/speak_gesture1.png,nogo,"you",videos/me_clip.mp4,audios/you.wav,hand_wrist,incongruent,7,7,0,space,0.684915900001215,None,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,693.6899967999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,693.6735461000007,693.6899967999998,693.6899967999998,694.3901987000008,space,0.684915900001215,None,2.7417218543046356,697.3088628999994,697.3189542,697.3189542,697.3189542,697.3926305000005,697.3926305000005,697.8901924666663,698.9561749000004,703.4248320000006,703.4248320000006,703.4428162999993,703.4428162999993,703.4414986666673,704.4606617000009,706.3901824999994,706.3734664000003,,,,,,,,,,,,,,,,,,,,,,,,BCI02,001,2025-12-12_12h42.57.795,exp_cospeech_congruency,,2025.1.1,60.03993856698204,2025-12-12 12h43.06.338691 -0600,
speech_gesture,images/speak_gesture1.png,go,"falling",videos/rising_clip.mp4,audios/falling.wav,arm,incongruent,8,8,0,space,0.8397777000009228,None,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,706.3901824999994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,706.3735658999994,706.3901824999994,706.3901824999994,707.2401807000006,space,0.8397777000009228,None,2.7417218543046356,710.0671765999996,710.0747317000005,710.0747317000005,710.0747317000005,710.2438323999995,710.2438323999995,710.7395741666662,711.8062453000002,715.7419757000007,715.7563133000003,715.7563133000003,715.7563133000003,715.7586423666673,716.7734598999996,719.2400835000008,719.2236591000001,,,,,,,,,,,,,,,,,,,,,,,,BCI02,001,2025-12-12_12h42.57.795,exp_cospeech_congruency,,2025.1.1,60.03993856698204,2025-12-12 12h43.06.338691 -0600,
speech_gesture,images/speak_gesture1.png,go,"rising",videos/rising_clip.mp4,audios/rising.wav,arm,congruent,9,9,0,space,1.3036788999997952,None,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,719.2400835000008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,719.2237678000001,719.2400835000008,719.2400835000008,720.5568901999995,space,1.3036788999997952,None,2.7417218543046356,723.4707712,723.4810751999994,723.4810751999994,723.4810751999994,723.5637528999996,723.5637528999996,724.0564116666667,725.1396844999999,729.3000723999994,729.3063244999994,729.3063244999994,729.3063244999994,729.3167390666661,730.3233244000003,732.5564795000009,732.5400105000008,,,,,,,,,,,,,,,,,,,,,,,,BCI02,001,2025-12-12_12h42.57.795,exp_cospeech_congruency,,2025.1.1,60.03993856698204,2025-12-12 12h43.06.338691 -0600,
speech,images/speak.png,go,"falling",videos/falling_clip.mp4,audios/falling.wav,arm,congruent,10,10,0,space,3.106953300000896,None,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,732.5564795000009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,732.540118500001,732.5564795000009,732.5564795000009,735.6733760000006,space,3.106953300000896,None,1.0,738.5994076000006,738.6091054000008,738.6091054000008,738.6091054000008,738.675317700001,738.675317700001,739.1731989666662,740.2398525999997,744.6920069000007,744.6920069000007,744.7072263999999,744.7072263999999,744.7086735666674,745.7231756000001,747.6732250000005,747.6566929,,,,,,,,,,,,,,,,,,,,,,,,BCI02,001,2025-12-12_12h42.57.795,exp_cospeech_congruency,,2025.1.1,60.03993856698204,2025-12-12 12h43.06.338691 -0600,
speech,images/speak.png,go,"you",videos/me_clip.mp4,audios/you.wav,hand_wrist,incongruent,11,11,0,space,5.038359799998943,None,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,747.6732250000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,747.6567909999994,747.6732250000005,747.6732250000005,752.723398600001,space,5.038359799998943,None,1.0,755.6448297000006,755.654706700001,755.654706700001,755.654706700001,755.7320722000004,755.7320722000004,756.2231310666668,757.2897792000003,761.5126350999999,761.5126350999999,761.5232419000004,761.5232419000004,761.5293017666665,762.5426041999999,764.7236775000001,764.7071322000011,,,,,,,,,,,,,,,,,,,,,,,,BCI02,001,2025-12-12_12h42.57.795,exp_cospeech_congruency,,2025.1.1,60.03993856698204,2025-12-12 12h43.06.338691 -0600,
speech_gesture,images/speak_gesture1.png,go,"you",videos/me_clip.mp4,audios/you.wav,hand_wrist,incongruent,12,12,0,space,8.590433800000028,None,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,764.7236775000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,764.7072367000001,764.7236775000001,764.7236775000001,773.3238113999996,space,8.590433800000028,None,2.7417218543046356,776.2020573000009,776.2143324000008,776.2143324000008,776.2143324000008,776.3241135000007,776.3241135000007,776.8237073666662,777.8899729999994,782.1440813999998,782.1440813999998,782.1610000000001,782.1610000000001,782.1607480666664,783.1738910999993,785.3237674000011,785.3067009000006,,,,,,,,,,,,,,,,,,,,,,,,BCI02,001,2025-12-12_12h42.57.795,exp_cospeech_congruency,,2025.1.1,60.03993856698204,2025-12-12 12h43.06.338691 -0600,
speech_gesture,images/speak_gesture1.png,go,"you",videos/you_clip.mp4,audios/you.wav,hand_wrist,congruent,13,13,0,space,13.259168799999316,None,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,785.3237674000011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,785.3068027000008,785.3237674000011,785.3237674000011,798.5901322999998,space,13.259168799999316,None,2.7417218543046356,801.2687344999995,801.2796130000006,801.2796130000006,801.2796130000006,801.5907281,801.5907281,802.0899942666676,803.1566698000006,807.6113461000004,807.6234194000008,807.6234194000008,807.6234194000008,807.6280127666671,808.6412154000009,810.5905684000008,810.5740470000001,,,,,,,,,,,,,,,,,,,,,,,,BCI02,001,2025-12-12_12h42.57.795,exp_cospeech_congruency,,2025.1.1,60.03993856698204,2025-12-12 12h43.06.338691 -0600,
speech_gesture,images/speak_gesture1.png,nogo,"falling",videos/rising_clip.mp4,audios/falling.wav,arm,incongruent,14,14,0,space,10.042794799999683,None,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,810.5905684000008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,810.5741462999995,810.5905684000008,810.5905684000008,820.6407942000005,space,10.042794799999683,None,2.7417218543046356,823.3475118999995,823.3552775000007,823.3552775000007,823.3552775000007,823.6402092000008,823.6402092000008,824.1401641666673,825.2074154000002,829.0352089000007,829.0406241000001,829.1442673000001,829.1442673000001,829.1441577666667,830.1573162999994,832.6406403000001,832.6240815000001,,,,,,,,,,,,,,,,,,,,,,,,BCI02,001,2025-12-12_12h42.57.795,exp_cospeech_congruency,,2025.1.1,60.03993856698204,2025-12-12 12h43.06.338691 -0600,
