instructionType,instructionSymbol,action,stimText,stimVideo,stimAudio,movement,congruency,thisN,thisTrialN,thisRepN,keyBlockResponseTraining.keys,keyBlockResponseTraining.rt,keyBlockResponseTraining.duration,trialsTraining.thisRepN,trialsTraining.thisTrialN,trialsTraining.thisN,trialsTraining.thisIndex,thisRow.t,notes,welcomeScreen.started,textWelcome.started,keyWelcomeResponse.started,welcomeScreen.stopped,keyWelcomeResponse.keys,keyWelcomeResponse.rt,keyWelcomeResponse.duration,explanationScreen.started,textExplanation.started,keyEplanation.started,explanationScreen.stopped,keyEplanation.keys,keyEplanation.rt,keyEplanation.duration,explInstructSpeak.started,image.started,textInstructSpeak.started,keyInstructSpeak_continue.started,textInstructSpeak_continue.started,explInstructSpeak.stopped,keyInstructSpeak_continue.keys,keyInstructSpeak_continue.rt,keyInstructSpeak_continue.duration,explInstructHand.started,textInstructHand.started,imageInstructHand.started,keyInstructHand.started,textInstructHand_continue.started,explInstructHand.stopped,keyInstructHand.keys,keyInstructHand.rt,keyInstructHand.duration,explInstructBoth.started,imageInstructBoth.started,textInstructBoth.started,keyResponseInstructBoth.started,textInstructBoth_continue.started,explInstructBoth.stopped,keyResponseInstructBoth.keys,keyResponseInstructBoth.rt,keyResponseInstructBoth.duration,blockTraining.started,textBlockTraining.started,keyBlockResponseTraining.started,blockTraining.stopped,trialsTraining.keyBlockResponseTraining.keys,trialsTraining.keyBlockResponseTraining.rt,trialsTraining.keyBlockResponseTraining.duration,image_aspect,trialTraining.started,iti_Training.started,iti_Training.stopped,textStart_Training.started,textStart_Training.stopped,movieGesture_Training.started,audioStim_Training.started,audioStim_Training.stopped,movieGesture_Training.stopped,instructionImage_Training.started,instructionImage_Training.stopped,actionCue_Training.started,audioGoCue_Training.started,audioGoCue_Training.stopped,actionCue_Training.stopped,trialTraining.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,0.005898957999761478,0.019048499999826163,0.019048499999826163,4.139368999999988,space,3.894022667000172,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,630786,001,2025-12-17_11h25.35.628,exp_cospeech_congruency,,2025.1.1,74.90309374791366,2025-12-17 11h25.41.833531 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,4.139401457999611,4.154310874999737,4.154310874999737,4.674582666999868,space,0.5058845420003308,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,630786,001,2025-12-17_11h25.35.628,exp_cospeech_congruency,,2025.1.1,74.90309374791366,2025-12-17 11h25.41.833531 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.674707124999713,4.7011774170000535,4.7011774170000535,4.7011774170000535,4.7011774170000535,5.007045500000004,space,0.2967145420002453,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,630786,001,2025-12-17_11h25.35.628,exp_cospeech_congruency,,2025.1.1,74.90309374791366,2025-12-17 11h25.41.833531 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.007152499999847,5.019042957999773,5.019042957999773,5.019042957999773,5.019042957999773,5.339828457999829,space,0.3140282920003301,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,630786,001,2025-12-17_11h25.35.628,exp_cospeech_congruency,,2025.1.1,74.90309374791366,2025-12-17 11h25.41.833531 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.340441832999659,5.3499247499999,5.3499247499999,5.3499247499999,5.3499247499999,5.674097124999662,space,0.3164292910000768,None,,,,,,,,,,,,,,,,,,,,,,,,,630786,001,2025-12-17_11h25.35.628,exp_cospeech_congruency,,2025.1.1,74.90309374791366,2025-12-17 11h25.41.833531 +0100,
speech,images/speak.png,nogo,"rising",videos/falling_clip.mp4,audios/rising.wav,arm,incongruent,0,0,0,space,0.48282254200012176,None,0,0,0,0,5.698838916999648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.691641124999933,5.698838916999648,5.698838916999648,6.19138487500004,space,0.48282254200012176,None,1.0,6.6979502919998595,6.725851917,8.191313916999661,8.191313916999661,9.196121999999832,9.196121999999832,9.70190920866641,10.765447457999926,12.290038124999683,12.290038124999683,14.688610124999741,14.688610124999741,14.69150966666645,15.693252999999913,18.20094604199994,18.185023541999726,630786,001,2025-12-17_11h25.35.628,exp_cospeech_congruency,,2025.1.1,74.90309374791366,2025-12-17 11h25.41.833531 +0100,
speech,images/speak.png,go,"you",videos/you_clip.mp4,audios/you.wav,hand_wrist,congruent,1,1,0,,,,0,1,1,1,18.20094604199994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.185561667,18.20094604199994,18.20094604199994,19.68041349999976,space,1.4740019170003507,None,1.0,19.853809499999898,19.858723499999996,21.67778316699969,21.67778316699969,22.677000832999965,22.677000832999965,23.186748583666272,,,,,,,,,,,,,,,,,,
