instructionType,instructionSymbol,action,stimText,stimVideo,stimAudio,movement,congruency,thisN,thisTrialN,thisRepN,keyBlockResponseTraining.keys,keyBlockResponseTraining.rt,keyBlockResponseTraining.duration,trialsTraining.thisRepN,trialsTraining.thisTrialN,trialsTraining.thisN,trialsTraining.thisIndex,thisRow.t,notes,welcomeScreen.started,textWelcome.started,keyWelcomeResponse.started,welcomeScreen.stopped,keyWelcomeResponse.keys,keyWelcomeResponse.rt,keyWelcomeResponse.duration,explanationScreen.started,textExplanation.started,keyEplanation.started,explanationScreen.stopped,keyEplanation.keys,keyEplanation.rt,keyEplanation.duration,explInstructSpeak.started,image.started,textInstructSpeak.started,keyInstructSpeak_continue.started,textInstructSpeak_continue.started,explInstructSpeak.stopped,keyInstructSpeak_continue.keys,keyInstructSpeak_continue.rt,keyInstructSpeak_continue.duration,explInstructHand.started,textInstructHand.started,imageInstructHand.started,keyInstructHand.started,textInstructHand_continue.started,explInstructHand.stopped,keyInstructHand.keys,keyInstructHand.rt,keyInstructHand.duration,explInstructBoth.started,imageInstructBoth.started,textInstructBoth.started,keyResponseInstructBoth.started,textInstructBoth_continue.started,explInstructBoth.stopped,keyResponseInstructBoth.keys,keyResponseInstructBoth.rt,keyResponseInstructBoth.duration,blockTraining.started,textBlockTraining.started,keyBlockResponseTraining.started,blockTraining.stopped,trialsTraining.keyBlockResponseTraining.keys,trialsTraining.keyBlockResponseTraining.rt,trialsTraining.keyBlockResponseTraining.duration,image_aspect,trialTraining.started,iti_Training.started,iti_Training.stopped,textStart_Training.started,textStart_Training.stopped,movieGesture_Training.started,audioStim_Training.started,audioStim_Training.stopped,movieGesture_Training.stopped,instructionImage_Training.started,instructionImage_Training.stopped,actionCue_Training.started,audioGoCue_Training.started,audioGoCue_Training.stopped,actionCue_Training.stopped,trialTraining.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,0.004235291999975743,0.00908133299981273,0.00908133299981273,7.713925332999679,space,7.55782229200031,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117897,001,2025-12-17_11h45.32.266,exp_cospeech_congruency,,2025.1.1,448.2454061025071,2025-12-17 11h45.39.103258 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,7.71395874999962,7.721527542000331,7.721527542000331,8.213193458000205,space,0.48090358300032676,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117897,001,2025-12-17_11h45.32.266,exp_cospeech_congruency,,2025.1.1,448.2454061025071,2025-12-17 11h45.39.103258 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.213317708000432,8.228850041999976,8.228850041999976,8.228850041999976,8.228850041999976,8.521107374999701,space,0.27850391599986324,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117897,001,2025-12-17_11h45.32.266,exp_cospeech_congruency,,2025.1.1,448.2454061025071,2025-12-17 11h45.39.103258 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.52123287500035,8.532154792000256,8.532154792000256,8.532154792000256,8.532154792000256,8.813412833000257,space,0.27630191699972784,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117897,001,2025-12-17_11h45.32.266,exp_cospeech_congruency,,2025.1.1,448.2454061025071,2025-12-17 11h45.39.103258 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.815288083000269,8.825468332999662,8.825468332999662,8.825468332999662,8.825468332999662,9.14713783299976,space,0.3165655829998286,None,,,,,,,,,,,,,,,,,,,,,,,,,117897,001,2025-12-17_11h45.32.266,exp_cospeech_congruency,,2025.1.1,448.2454061025071,2025-12-17 11h45.39.103258 +0100,
speech,images/speak.png,go,"me",videos/you_clip.mp4,audios/me.wav,hand_wrist,incongruent,0,0,0,space,0.633915958000216,None,0,0,0,0,9.167323083000156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.159560166999654,9.167323083000156,9.167323083000156,9.813360250000187,space,0.633915958000216,None,1.0,10.096198082999763,10.104469625000092,11.811414374999913,11.811414374999913,12.811274208000214,12.811274208000214,13.321165749667005,14.371845499999836,15.937445874999867,15.939294124999833,18.321445000000494,18.321445000000494,18.32473729166692,19.32665229200029,21.816013292000207,21.80374112499976,117897,001,2025-12-17_11h45.32.266,exp_cospeech_congruency,,2025.1.1,448.2454061025071,2025-12-17 11h45.39.103258 +0100,
gesture,images/hand.png,go,"rising",videos/falling_clip.mp4,audios/rising.wav,arm,incongruent,1,1,0,space,3.3399019169992243,None,0,1,1,1,21.816013292000207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.804491875000167,21.816013292000207,21.816013292000207,25.165028375000475,space,3.3399019169992243,None,1.0,25.318876958000146,25.324075874999835,27.164479207999648,27.164479207999648,28.164103500000238,28.164103500000238,28.67355566666653,29.737332833000437,31.254091167000297,31.254091167000297,33.67367791699962,33.67367791699962,33.67701583366694,34.67846270799964,37.16840987500018,37.15562079200026,117897,001,2025-12-17_11h45.32.266,exp_cospeech_congruency,,2025.1.1,448.2454061025071,2025-12-17 11h45.39.103258 +0100,
speech_gesture,images/speak_gesture1.png,go,"you",videos/you_clip.mp4,audios/you.wav,hand_wrist,congruent,2,2,0,,,,0,2,2,2,37.16840987500018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.15603137499966,37.16840987500018,37.16840987500018,38.384396082999956,space,1.2110274999995454,None,2.7417218543046356,38.54684875000021,38.55193337499986,40.38320729200041,40.38320729200041,41.38241229200048,41.38241229200048,41.891853041667005,42.95585720800045,44.50391720799962,44.50659337500019,46.891965542000435,46.891965542000435,46.89533145866632,47.89772724999966,,,,,,,,,,,
