instructionType,instructionSymbol,action,stimText,stimVideo,stimAudio,movement,congruency,thisN,thisTrialN,thisRepN,keyBlockResponseTraining.keys,keyBlockResponseTraining.rt,keyBlockResponseTraining.duration,trialsTraining.thisRepN,trialsTraining.thisTrialN,trialsTraining.thisN,trialsTraining.thisIndex,thisRow.t,notes,welcomeScreen.started,textWelcome.started,keyWelcomeResponse.started,welcomeScreen.stopped,keyWelcomeResponse.keys,keyWelcomeResponse.rt,keyWelcomeResponse.duration,explanationScreen.started,textExplanation.started,keyEplanation.started,explanationScreen.stopped,keyEplanation.keys,keyEplanation.rt,keyEplanation.duration,explInstructSpeak.started,image.started,textInstructSpeak.started,keyInstructSpeak_continue.started,textInstructSpeak_continue.started,explInstructSpeak.stopped,keyInstructSpeak_continue.keys,keyInstructSpeak_continue.rt,keyInstructSpeak_continue.duration,explInstructHand.started,textInstructHand.started,imageInstructHand.started,keyInstructHand.started,textInstructHand_continue.started,explInstructHand.stopped,keyInstructHand.keys,keyInstructHand.rt,keyInstructHand.duration,explInstructBoth.started,imageInstructBoth.started,textInstructBoth.started,keyResponseInstructBoth.started,textInstructBoth_continue.started,explInstructBoth.stopped,keyResponseInstructBoth.keys,keyResponseInstructBoth.rt,keyResponseInstructBoth.duration,blockTraining.started,textBlockTraining.started,keyBlockResponseTraining.started,blockTraining.stopped,trialsTraining.keyBlockResponseTraining.keys,trialsTraining.keyBlockResponseTraining.rt,trialsTraining.keyBlockResponseTraining.duration,image_aspect,trialTraining.started,iti_Training.started,iti_Training.stopped,textStart_Training.started,textStart_Training.stopped,movieGesture_Training.started,audioStim_Training.started,audioStim_Training.stopped,movieGesture_Training.stopped,instructionImage_Training.started,instructionImage_Training.stopped,actionCue_Training.started,audioGoCue_Training.started,audioGoCue_Training.stopped,actionCue_Training.stopped,trialTraining.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,0.02914995800529141,0.042139583005337045,0.042139583005337045,2.374029958009487,space,2.0994246659975033,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2025-11-13_17h39.00.752,exp_cospeech_congruency,,2025.1.1,None,2025-11-13 17h39.07.820734 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3740664170036325,2.3803805420029676,2.3803805420029676,3.1361938750051195,space,0.7535807910026051,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2025-11-13_17h39.00.752,exp_cospeech_congruency,,2025.1.1,None,2025-11-13 17h39.07.820734 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.136235083002248,3.1551059170014923,3.1551059170014923,3.1551059170014923,3.1551059170014923,3.7028601670026546,space,0.5379523750016233,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2025-11-13_17h39.00.752,exp_cospeech_congruency,,2025.1.1,None,2025-11-13 17h39.07.820734 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7028940000018338,3.7071372080099536,3.7071372080099536,3.7071372080099536,3.7071372080099536,4.219256958007463,space,0.5079714580060681,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2025-11-13_17h39.00.752,exp_cospeech_congruency,,2025.1.1,None,2025-11-13 17h39.07.820734 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.219691667007282,4.224394125005347,4.224394125005347,4.224394125005347,4.224394125005347,4.802630000005593,space,0.5764452919975156,None,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2025-11-13_17h39.00.752,exp_cospeech_congruency,,2025.1.1,None,2025-11-13 17h39.07.820734 +0100,
speech_gesture,images/speak_gesture1.png,go,"me",videos/me_clip.mp4,audios/me.wav,hand_wrist,congruent,0,0,0,space,1.2376583750010468,None,0,0,0,0,4.811807500009309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.808148333002464,4.811807500009309,4.811807500009309,6.052659458000562,space,1.2376583750010468,None,2.7417218543046356,6.179959291999694,6.184639500002959,8.050641000008909,8.050641000008909,9.080901792010991,9.080901792010991,9.554539791676023,10.600769333002972,12.166398417000892,12.17062600000645,14.550733916999889,14.550733916999889,14.553493041680001,15.550706958005321,18.050784582999768,18.038069625006756,pilot,001,2025-11-13_17h39.00.752,exp_cospeech_congruency,,2025.1.1,None,2025-11-13 17h39.07.820734 +0100,
gesture,images/hand.png,go,"falling",videos/falling_clip.mp4,audios/falling.wav,arm,congruent,1,1,0,,,,0,1,1,1,18.050784582999768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.038225958007388,18.050784582999768,18.050784582999768,20.302723167013028,space,2.2454373329965165,None,1.0,20.55273816701083,20.55655570801173,,,,,,,,,,,,,,,,,,,,,,,
