thisN,thisTrialN,thisRepN,instructionType,instructionSymbol,action,stimText,stimAudio,stimVideo,movement,keyBlockResponse.keys,keyBlockResponse.rt,keyBlockResponse.duration,trainingTrials_block.thisRepN,trainingTrials_block.thisTrialN,trainingTrials_block.thisN,trainingTrials_block.thisIndex,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,trialsLoop.thisRepN,trialsLoop.thisTrialN,trialsLoop.thisN,trialsLoop.thisIndex,pause.thisRepN,pause.thisTrialN,pause.thisN,pause.thisIndex,halfTimeLoop.thisRepN,halfTimeLoop.thisTrialN,halfTimeLoop.thisN,halfTimeLoop.thisIndex,thisRow.t,notes,welcomeScreen.started,textWelcome.started,keyWelcome.started,welcomeScreen.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.duration,explanationScreen.started,textExplanation.started,keyExplanationResponse.started,explanationScreen.stopped,keyExplanationResponse.keys,keyExplanationResponse.rt,keyExplanationResponse.duration,expInstructSpeak.started,textInstructSpeak.started,imageSpeak.started,textInstructSpeak_continue.started,keyInstructSpeak_continue.started,expInstructSpeak.stopped,keyInstructSpeak_continue.keys,keyInstructSpeak_continue.rt,keyInstructSpeak_continue.duration,expInstructHand.started,textInstructHand.started,keyInstructHand_continue.started,textInstructHand_continue.started,imageInstructHand.started,expInstructHand.stopped,keyInstructHand_continue.keys,keyInstructHand_continue.rt,keyInstructHand_continue.duration,expInstructBoth.started,textInstructBoth.started,imageInstructBoth.started,keyresponseInstructBoth.started,textInstructBoth_continue.started,expInstructBoth.stopped,keyresponseInstructBoth.keys,keyresponseInstructBoth.rt,keyresponseInstructBoth.duration,blockTrials.started,textBlockOne.started,keyBlockResponse.started,blockTrials.stopped,blockLoop.keyBlockResponse.keys,blockLoop.keyBlockResponse.rt,blockLoop.keyBlockResponse.duration,image_aspect,trials.started,iti.started,iti.stopped,trialStart.started,trialStart.stopped,movieGesture.started,soundStimulus.started,soundStimulus.stopped,movieGesture.stopped,instructionImage.started,instructionImage.stopped,actionCue.started,audioGoCue.started,audioGoCue.stopped,actionCue.stopped,trials.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003983625000273605,0.008368209000309434,0.008368209000309434,3.6883322920002684,space,3.5412443329996677,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,524460,001,2025-12-17_11h27.17.691,CoSpeechGestures,,2025.1.1,75.01094691000134,2025-12-17 11h27.22.428037 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6883652090000396,3.6955056670003614,3.6955056670003614,4.15480745900004,space,0.4540063750000627,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,524460,001,2025-12-17_11h27.17.691,CoSpeechGestures,,2025.1.1,75.01094691000134,2025-12-17 11h27.22.428037 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.154921917000138,4.170598125000197,4.170598125000197,4.170598125000197,4.170598125000197,4.525988166999923,space,0.3424513330000991,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,524460,001,2025-12-17_11h27.17.691,CoSpeechGestures,,2025.1.1,75.01094691000134,2025-12-17 11h27.22.428037 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.526030959000309,4.538198459000341,4.538198459000341,4.538198459000341,4.538198459000341,4.875315000000228,space,0.3319701659997918,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,524460,001,2025-12-17_11h27.17.691,CoSpeechGestures,,2025.1.1,75.01094691000134,2025-12-17 11h27.22.428037 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.87663245900012,4.88389108399997,4.88389108399997,4.88389108399997,4.88389108399997,5.342489042000125,space,0.44460962499988455,None,,,,,,,,,,,,,,,,,,,,,,,,,524460,001,2025-12-17_11h27.17.691,CoSpeechGestures,,2025.1.1,75.01094691000134,2025-12-17 11h27.22.428037 +0100,
0,0,0,gesture_no,images/hand.png,nogo,"yes",audios/yes.wav,videos/yes_clip.mp4,digits,space,0.9631317090002085,None,,,,,0,0,0,0,0,0,0,0,,,,,,,,,6.574323834000097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.355781167000259,5.360670625000239,5.360670625000239,6.328997250000157,space,0.9631317090002085,None,1.0,6.5676232920000075,6.574323834000097,8.32600658399997,8.32600658399997,9.326495709000028,9.326495709000028,9.836382666666639,11.526958542000102,12.410952708999957,12.410952708999957,14.836546959000316,14.836546959000316,14.839992958666942,15.84064220900018,17.552262042000166,17.318058042000303,524460,001,2025-12-17_11h27.17.691,CoSpeechGestures,,2025.1.1,75.01094691000134,2025-12-17 11h27.22.428037 +0100,
1,1,0,speech,images/speak.png,go,"sweeping",audios/sweeping.wav,videos/sweeping_clip.mp4,arm,space,0.9631317090002085,None,,,,,0,0,0,0,0,1,1,1,,,,,,,,,17.552262042000166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,17.549951959000282,17.552262042000166,19.331365375000132,19.331365375000132,20.330940792000092,20.330940792000092,20.84050175066683,22.637795084000118,23.416759917000036,23.416759917000036,25.827768874999947,25.827768874999947,25.83073383366697,26.83134716700033,28.579959209000208,28.322173209000084,524460,001,2025-12-17_11h27.17.691,CoSpeechGestures,,2025.1.1,75.01094691000134,2025-12-17 11h27.22.428037 +0100,
2,2,0,speech_gesture,images/speak_gesture.png,go,"sweeping",audios/sweeping.wav,videos/sweeping_clip.mp4,arm,,,,,,,,,,,,0,2,2,2,,,,,,,,,28.579959209000208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.663076923076923,28.577614084000288,28.579959209000208,,,,,,,,,,,,,,,,,,,,,,,
