instructionType,instructionSymbol,action,stimText,stimAudio,stimVideo,movement,thisN,thisTrialN,thisRepN,keyBlockResponseTraining.keys,keyBlockResponseTraining.rt,keyBlockResponseTraining.duration,trainingTrials_block.thisRepN,trainingTrials_block.thisTrialN,trainingTrials_block.thisN,trainingTrials_block.thisIndex,thisRow.t,notes,welcomeScreen.started,textWelcome.started,keyWelcome.started,welcomeScreen.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.duration,explanationScreen.started,textExplanation.started,keyExplanationResponse.started,explanationScreen.stopped,keyExplanationResponse.keys,keyExplanationResponse.rt,keyExplanationResponse.duration,expInstructSpeak.started,textInstructSpeak.started,imageSpeak.started,textInstructSpeak_continue.started,keyInstructSpeak_continue.started,expInstructSpeak.stopped,keyInstructSpeak_continue.keys,keyInstructSpeak_continue.rt,keyInstructSpeak_continue.duration,expInstructHand.started,textInstructHand.started,keyInstructHand_continue.started,textInstructHand_continue.started,imageInstructHand.started,expInstructHand.stopped,keyInstructHand_continue.keys,keyInstructHand_continue.rt,keyInstructHand_continue.duration,expInstructBoth.started,textInstructBoth.started,imageInstructBoth.started,keyresponseInstructBoth.started,textInstructBoth_continue.started,expInstructBoth.stopped,keyresponseInstructBoth.keys,keyresponseInstructBoth.rt,keyresponseInstructBoth.duration,trainingBlock.started,textBlockTraining.started,keyBlockResponseTraining.started,trainingBlock.stopped,trainingTrials_block.keyBlockResponseTraining.keys,trainingTrials_block.keyBlockResponseTraining.rt,trainingTrials_block.keyBlockResponseTraining.duration,image_aspect,trainingTrials.started,itiTraining.started,itiTraining.stopped,trialStart_Training.started,trialStart_Training.stopped,movieGesture_Training.started,soundStimulus_Training.started,soundStimulus_Training.stopped,movieGesture_Training.stopped,instructionImageTraining.started,instructionImageTraining.stopped,actionCueTraining.started,soundGoCue_Training.started,soundGoCue_Training.stopped,actionCueTraining.stopped,trainingTrials.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,0.016279457951895893,0.022168332943692803,0.022168332943692803,3.734005374950357,space,3.484249540953897,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2025-12-08_15h13.24.965,CoSpeechGestures,,2025.1.1,None,2025-12-08 15h13.31.759355 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,3.7340404159622267,3.741064958041534,3.741064958041534,7.164514375035651,space,3.411806624964811,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2025-12-08_15h13.24.965,CoSpeechGestures,,2025.1.1,None,2025-12-08 15h13.31.759355 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.164555749972351,7.177100708009675,7.177100708009675,7.177100708009675,7.177100708009675,8.27951183298137,space,1.0883632500190288,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2025-12-08_15h13.24.965,CoSpeechGestures,,2025.1.1,None,2025-12-08 15h13.31.759355 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.279555915971287,8.283896915963851,8.283896915963851,8.283896915963851,8.283896915963851,8.946139291045256,space,0.6555241249734536,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2025-12-08_15h13.24.965,CoSpeechGestures,,2025.1.1,None,2025-12-08 15h13.31.759355 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.94756412494462,8.952255000011064,8.952255000011064,8.952255000011064,8.952255000011064,9.629494832945056,space,0.6668216249672696,None,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2025-12-08_15h13.24.965,CoSpeechGestures,,2025.1.1,None,2025-12-08 15h13.31.759355 +0100,
gesture,images/hand.png,go,"cutting",audios/cutting.wav,videos/cutting_clip.mp4,arm,0,0,0,space,1.5101782080018893,None,0,0,0,0,9.644901624997146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.641325291013345,9.644901624997146,9.644901624997146,11.162853625020944,space,1.5101782080018893,None,1.0,11.279454290983267,11.283492791000754,13.161073500057682,13.161073500057682,14.189381540985778,14.189381540985778,14.664791416671749,16.394355540978722,17.253931915969588,17.253931915969588,19.660965332994238,19.660965332994238,19.66345729161209,20.661001374945045,22.294233166030608,22.14882954105269,pilot,001,2025-12-08_15h13.24.965,CoSpeechGestures,,2025.1.1,None,2025-12-08 15h13.31.759355 +0100,
speech_gesture,images/speak_gesture.png,go,"sweeping",audios/sweeping.wav,videos/sweeping_clip.mp4,arm,1,1,0,space,3.043467332958244,None,0,1,1,1,22.294233166030608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.29203591600526,22.294233166030608,22.294233166030608,25.346759125008248,space,3.043467332958244,None,2.663076923076923,25.606416375027038,25.610426499973983,27.344349874998443,27.344349874998443,28.352824416011572,28.352824416011572,28.84833649971212,30.631528500001878,31.464002500055358,31.464002500055358,33.844365790952,33.844365790952,33.84950808267264,34.85109350003768,36.475442708004266,36.33197099994868,pilot,001,2025-12-08_15h13.24.965,CoSpeechGestures,,2025.1.1,None,2025-12-08 15h13.31.759355 +0100,
gesture,images/hand.png,go,"outside",audios/outside.wav,videos/outside_clip.mp4,arm,2,2,0,space,1.598386041005142,None,0,2,2,2,36.475442708004266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.473322040983476,36.475442708004266,36.475442708004266,38.079723833012395,space,1.598386041005142,None,1.0,38.31357516604476,38.31738033297006,40.078017082996666,40.078017082996666,41.07778112497181,41.07778112497181,41.581277291701795,43.364664250053465,44.17925549997017,44.17925549997017,46.57778170797974,46.57778170797974,46.58041262469875,47.57777787500527,49.17394437501207,49.06534479104448,pilot,001,2025-12-08_15h13.24.965,CoSpeechGestures,,2025.1.1,None,2025-12-08 15h13.31.759355 +0100,
speech,images/speak.png,go,"what",audios/what.wav,videos/what_clip.mp4,wrist,3,3,0,,,,0,3,3,3,49.17394437501207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.171902957954444,49.17394437501207,49.17394437501207,53.02992333297152,space,3.8475349999498576,None,1.0,53.266179624944925,53.26989324996248,55.02782866603229,55.02782866603229,,,,,,,,,,,,,,,,,,,,,
